location,transaction_count,total_amount,fraud_count
South Stephanie,9,7599.62,0
South Alyssahaven,1,74.77,0
South Andrewfort,2,6450.13,0
Sheafort,1,211.48,0
Stevenmouth,2,2899.68,0
Port Hannah,1,184.96,0
Hensleymouth,3,293.92,0
Dennisfort,1,199.07,0
Blackshire,1,418.87,1
Brownborough,2,327.59,0
South Christian,1,149.25,0
North Tonyamouth,3,272.17,0
Carlborough,1,80.68,0
Virginiaborough,2,515.64,0
South Donaldburgh,1,76.77,0
Sandersside,1,60.42,0
South Lonnie,3,968.79,0
Nguyenland,1,17.19,0
New Alan,3,904.07,0
North Kevin,1,86.17,1
North Carlosfurt,2,782.82,0
South Melissaland,1,160.36,0
Port Alyssaberg,1,463.09,1
Port Derek,1,192.11,0
Timothyberg,3,4355.87,0
West Joel,1,146.10,0
South Judychester,5,182.96,0
Bradleyshire,3,5855.34,0
Lake Scott,2,202.68,0
New Renee,1,378.33,0
New Tamiside,2,716.61,0
West Katrinaview,1,91.15,0
New Edward,1,41.29,0
Lake Karenfort,1,4237.11,0
Sellersland,2,114.18,0
Terristad,2,384.52,0
South Anna,1,34.81,0
North Vernonshire,1,344.92,0
Port Samanthaside,1,17.67,0
Garciamouth,1,259.48,0
New Amberbury,1,239.09,0
South Leslietown,2,957.25,0
North Donna,1,261.53,0
Lake Kelseyberg,3,244.66,0
Port Susan,2,155.44,1
Whitneyborough,4,2120.67,1
Webbside,2,830.93,0
East Monicaville,2,985.31,0
New Meghanfurt,1,9.87,0
New Bryan,2,123.31,0
Port Jefferyland,1,301.91,0
Johnsonstad,1,405.26,0
Carlafort,1,313.84,0
Lake Julieburgh,1,148.13,0
Grossville,2,682.30,0
East Cynthiaview,1,67.83,0
West Jack,1,42.10,0
Lake Michelleville,1,714.30,0
Richardsonville,5,1788.29,0
South Omarberg,1,143.09,0
Lake Jamie,3,2941.74,1
West Amymouth,1,224.42,0
Bryanbury,1,436.41,1
Hancockbury,2,376.28,2
Johnberg,2,162.35,0
Leeshire,5,1389.34,0
Port Christianton,1,2063.01,0
New Krista,1,56.30,0
Banksstad,1,2767.40,0
New Joshuastad,1,23.43,0
North Joshua,3,207.53,0
Lake Lesliemouth,1,215.08,1
Charlesstad,1,393.36,0
North Jessicaborough,2,630.25,0
East Nathaniel,1,515.85,0
Leestad,2,407.86,0
Armstrongstad,1,31.16,0
Lake Shannon,2,6177.42,2
Andersenport,1,1165.84,0
New Kylestad,1,337.61,1
Josephtown,3,358.23,1
Manuelfurt,1,31.77,0
West Williamchester,1,274.25,0
Mccormickborough,3,93.00,0
New Elizabethfort,2,5978.47,0
Port Earlborough,1,111.80,1
Port Kevinstad,3,218.70,0
Deannamouth,1,355.36,1
Ramosville,2,161.96,0
New Thomas,2,163.06,0
North Michelle,3,107.39,1
Port Codymouth,3,888.10,0
Stevenchester,1,1008.75,0
Jenniferfort,4,2642.39,4
Williamtown,4,438.71,0
Lake Christinemouth,2,363.55,1
Grantberg,1,49.19,0
Carlsonfort,3,718.35,0
Warnerberg,1,2017.06,0
West Alexandraberg,2,305.60,0
Lake Cathy,1,78.29,1
Shelbychester,1,5764.21,1
Perryberg,2,6093.02,0
Cynthiaside,2,512.16,0
Daleville,1,224.49,0
Frederickberg,1,367.46,0
Millermouth,4,1775.66,0
Angelastad,1,256.56,0
South Melissamouth,1,402.52,1
North Gabrielafurt,1,33.98,0
Karenland,1,69.56,0
Williamport,5,5532.06,0
West Luis,2,9267.44,2
Pricehaven,1,212.13,0
Romeroport,1,2582.70,0
Millshaven,1,13.63,0
South Dominiqueshire,1,430.71,0
North Johnberg,2,294.43,0
West Melanieburgh,5,414.55,0
Connortown,1,204.80,0
West Jason,4,2701.20,1
Hayeschester,3,5680.71,0
South Howard,1,482.20,0
Teresatown,1,2488.62,1
Mikechester,2,800.26,0
Port Stephanie,1,0.01,1
West Thomas,2,367.44,1
Danielport,2,889.75,1
South Sheri,3,1322.13,3
New Karen,3,7765.66,0
South Angelaside,4,4170.97,0
Lake Kristihaven,2,87.12,0
Russellshire,1,20.47,0
New Abigailton,1,160.25,0
Kennethmouth,7,2927.31,0
Cordovafort,3,277.83,0
Port Jaredmouth,3,8685.80,0
North Danny,1,35.13,1
East Jose,2,759.54,0
South Michaeltown,1,320.74,0
Wilkinsonville,1,350.66,1
Lake Andrew,4,2739.67,0
Joneschester,3,5794.88,1
East Johnberg,3,51.31,0
Davidhaven,7,2609.85,0
Popeport,1,171.03,1
Maddenmouth,2,630.96,0
Lake Heatherborough,2,636.91,0
East Rachel,3,133.83,0
West Emilytown,1,141.47,1
Lake Davidfort,2,63.48,2
Sierraburgh,1,459.47,0
Harrisonton,1,71.15,0
Lake Julieland,2,5.03,0
West Robertborough,1,66.65,0
West Adam,2,583.93,0
East Tracyburgh,2,102.59,2
Paulborough,2,83.44,0
Lisashire,2,430.01,1
New Jamieborough,2,348.52,0
Katherinemouth,3,1271.82,0
North Tiffanyside,1,140.51,1
New Joy,1,12005.75,1
New Laura,1,193.78,0
Jamestown,2,485.12,0
Mariahaven,6,7209.09,0
West Danielbury,1,171.22,0
Michaelaville,1,111.78,0
Hensonfort,1,416.05,0
West Sheryl,1,80.06,1
South Tara,3,541.85,0
South Denise,1,2965.70,1
Jerryview,2,291.55,0
Ortegafurt,1,11.24,0
Jamesview,3,3112.33,0
East Ronald,1,3756.00,0
East Abigail,1,766.08,0
Hughesmouth,1,56.32,0
Davisside,5,987.41,0
East Heatherhaven,1,51.77,0
North Veronica,1,79.96,0
Khanburgh,1,65.59,0
Sanchezside,1,1881.59,0
Jonesborough,4,465.11,2
East Daniel,2,766.62,0
Williamsonview,2,23492.60,2
Briannaview,1,43.93,0
North Jessestad,1,230.06,0
South Kathleenland,1,427.73,1
South Hayden,1,72.56,0
West Tony,2,162.86,0
Jenniferland,1,293.17,0
Port Nathanburgh,1,2918.55,0
East Jesusview,1,75.11,0
South Theresaview,1,106.92,0
Erinview,2,997.57,0
Tommyberg,2,597.53,0
North Kari,2,190.77,0
Singletonbury,1,1539.76,0
Williamstad,4,18029.87,2
New Gregoryfort,1,958.45,0
South Brianside,1,262.98,0
East Ericberg,1,81.06,0
Hortonton,1,418.39,0
New Mary,4,264.30,0
West John,6,2069.31,0
Hollandtown,1,146.96,0
West Valerie,4,780.40,0
Jessicashire,2,65.28,0
New Jamesstad,1,0.01,1
West Abigailborough,1,201.90,1
East Jaimehaven,1,30.06,1
Singhville,1,73.79,0
Samanthaside,1,427.64,0
Tamaramouth,4,239.24,0
Jonathanshire,3,26511.31,3
Westmouth,3,6148.93,0
Tammyland,1,155.25,0
Youngberg,1,298.63,0
Williamsborough,1,226.04,1
Timothyview,2,772.85,0
Port Dominiqueview,1,2933.30,0
West Jacquelinebury,2,55200.08,1
Stephenchester,2,123.93,0
Stevenshire,1,3378.07,0
Lake Sabrinaberg,1,84.61,1
Cannonborough,1,2211.51,0
West Emilybury,1,341.14,0
East Deanhaven,1,110.78,0
New Mariamouth,5,401.95,0
Raymondmouth,1,13.15,1
East Eric,5,1724.24,1
Port Peggyfurt,1,232.44,0
Suarezstad,2,175.42,0
Lake Angela,2,2204.64,0
Vasquezland,1,41.57,0
Port Carlyfurt,1,177.29,0
South Jeffreyport,1,331.54,0
Gordonborough,1,148.13,1
Walterberg,4,1157.18,0
East Dawnport,1,940.95,0
East Josephland,1,40.93,1
Davidborough,3,344.74,0
South Brooke,1,8.72,0
North Rachelstad,1,443.53,0
Douglasville,1,2902.62,1
Port Hollyfurt,3,1137.16,0
Christinebury,2,331.04,2
East Calvin,2,233.45,0
West Duanestad,1,79.73,0
East Cassandra,1,202.49,0
East Bethany,4,81.48,0
East Stevenview,1,409.03,0
Coleburgh,2,1946.16,0
South Terri,1,245.67,1
Albertfurt,4,891.56,0
Margaretburgh,1,261.18,0
Watkinsburgh,1,5081.42,1
Priceland,1,1979.71,0
Gonzalesport,1,155.60,0
Singletonland,1,270.77,0
South Raymondburgh,1,89.46,0
Jeremiahside,1,281.95,0
Lambberg,1,224.69,1
Russoborough,1,238.28,0
North Stacychester,3,649.46,0
Port Williechester,3,275.76,0
Yatesport,5,5137.45,0
New Douglasfurt,4,6471.01,0
Port Johnmouth,1,393.03,0
Lake Jasonfort,1,478.90,1
Port Bobby,2,799.91,0
Lake Ericberg,1,360.16,0
Port Pamela,2,483.75,0
North Nathanmouth,1,169.30,0
Richardsonside,1,2703.26,0
Georgeshire,1,393.71,0
Harrisborough,2,277.75,0
East Billyview,2,615.47,0
Matthewville,1,79.45,0
South Justin,1,2183.51,0
North Timfurt,1,2040.17,0
Jaredberg,1,214.62,0
Wallacechester,1,2195.12,0
Wileyfurt,1,1235.27,0
West Nancyville,2,80.99,0
Jeffmouth,1,43.14,1
South Angelicatown,7,1087.04,0
Heatherland,1,366.56,0
South Johnville,5,10708.92,0
Paulmouth,1,1464.28,0
Lake Tiffanyhaven,3,530.85,1
East Holly,1,4222.79,0
Elizabethside,3,466.71,0
Vincentchester,2,27.35,2
West Krystal,1,275.08,0
Lake Dustin,1,72.34,0
New Erica,7,919.77,0
South Brittneybury,1,259.21,0
Port Jonathan,1,1184.89,0
Mariafurt,4,8471.30,0
South Peter,2,213.74,2
Geoffreyborough,1,73.94,0
Peckville,1,2768.07,0
North Dianaview,3,97.32,0
East Jeromehaven,1,24.80,1
Thomasview,2,110.82,0
Edwardsshire,1,382.97,1
New Austin,3,699.31,0
Port Jerry,1,248.13,1
Vanessaport,3,1163.57,0
Fitzgeraldborough,1,272.33,0
Scottbury,1,63.70,0
Leslieberg,1,1089.83,1
Lorimouth,3,1135.65,0
"Carlton, Russia",1,319.48,1
Vickiburgh,1,471.46,1
South Mark,1,70.34,0
Bettyborough,1,72.57,0
Lake Thomas,2,151.10,0
Cummingstown,1,81.75,0
Port Sheri,4,1759.64,0
Lewistown,1,250.82,0
West Samanthastad,1,19.95,1
Port Lisaview,3,146.16,0
North Scottfort,1,36.60,0
Lake Calvinside,1,46.26,1
Moorechester,2,78.86,0
Port Cynthia,2,471.36,0
New Kathyside,1,36.99,0
Timothyfurt,1,2465.94,0
East Brittneyshire,5,44334.13,5
South Kennethborough,1,489.69,1
Moranberg,1,108.03,0
Flemingside,1,2599.40,0
Clarkstad,2,5119.56,0
Cooperland,2,1673.88,0
South Garyfort,2,122.70,0
Ramirezside,2,205.52,2
West Kellyshire,1,81.63,0
Mistyfurt,1,194.97,1
Lake Sharon,2,2838.65,0
South Markshire,1,264.26,0
Charlesfort,1,493.14,0
North Malik,5,268.50,0
Dominguezmouth,3,287.20,0
Tinatown,3,1559.70,0
Kristinefort,1,53.59,1
Hoganland,1,52.84,0
North Tamara,1,296.23,1
Pattersonborough,2,112.44,2
Rachelmouth,1,3037.21,0
Lake Samuelview,1,123.25,0
Bobbyside,4,294.21,0
Lake Jennifertown,3,200.78,0
Lake Philip,1,283.81,0
Valenzuelaton,1,128.53,1
West Troy,1,1648.43,0
North Bryan,1,262.56,0
Penastad,1,3.05,0
Archermouth,1,398.81,0
North Adam,2,700.57,0
Shelbyfurt,2,4396.37,0
South Jacquelinestad,2,4136.18,1
Scottberg,1,545.57,0
Reyesville,2,547.73,0
North Laurastad,1,343.14,0
West Kennethhaven,1,440.55,0
Port Michael,8,3743.51,1
Bassport,1,25.83,0
Valdezchester,1,63.46,0
Benjaminview,1,9971.82,1
Osborneside,1,31.88,1
Larsenburgh,2,190.12,0
East Shelley,4,961.24,0
Port Loriview,1,18.15,0
Lake Catherineport,1,127.32,1
East Michellemouth,1,361.52,0
Brianaside,1,1841.36,0
North Danielton,1,68.01,0
Port Danielbury,3,1524.37,0
Nealmouth,1,73.75,1
Shannonchester,8,31719.94,2
West Mario,1,57.47,0
New Katelyn,1,494.55,0
Dunlapton,4,1702.24,0
South Kurtview,1,130.38,0
North Marissaburgh,1,406.19,0
Nolanburgh,2,3969.65,0
Kingtown,2,78.57,0
North Hollyland,2,504.33,2
Jademouth,1,84.10,0
North Kayleefurt,1,64.57,0
Millerbury,3,340.92,0
Yatesberg,1,448.14,0
Costaside,2,74.02,0
North Maryshire,6,2307.67,0
Theresaview,1,425.04,1
Chenmouth,1,18.12,0
Lake Heather,1,37.85,0
Port Teresa,2,168.00,0
"East Joshuaborough, India",1,100.45,1
Leonview,2,868.03,0
North Kimberlystad,2,170.50,0
North Keithfort,4,1553.01,0
Davisborough,6,4346.51,1
Bowenborough,1,1364.84,0
Lake Alicia,2,107.93,0
West Joshua,6,12838.22,1
West Denise,1,67.74,0
Cookmouth,1,840.39,0
West Jasmine,1,367.94,1
New Richardmouth,1,58.55,0
North Richard,2,1006.87,0
Bobbyfort,1,109.20,1
Danielchester,1,232.12,0
East Jessicaside,1,146.67,0
North Stevenmouth,3,969.74,0
Port Amandabury,1,338.65,0
South Jenniferburgh,1,323.20,0
Riveraton,8,1944.65,2
Seanside,1,0.01,1
Lopezport,2,594.73,0
West Tylerbury,1,107.06,0
Jacksonshire,2,684.02,0
"Lake Josephmouth, Russia",1,32.49,1
Port Matthew,1,245.42,0
Lake Michelefort,4,1769.81,0
Rayview,1,304.88,0
Lisaport,1,10586.02,1
Chadton,9,1603.65,1
East Kathleen,7,231.25,0
Martinmouth,4,4254.90,0
East Nicholasburgh,1,340.26,1
Schaeferview,1,18.65,0
Blakeport,1,101.18,0
New Marcusview,1,99.55,0
Amandachester,3,297.12,0
Juanmouth,2,30.80,0
West Sabrina,1,42.43,1
South Joshuaville,1,1666.08,1
Wandastad,2,515.50,0
Frankborough,1,233.93,0
Harriston,2,154.44,0
Graymouth,1,915.99,0
Lake Jamestown,1,1684.74,1
Staceybury,3,863.26,0
East Juanshire,2,2130.47,0
South Lauraside,1,987.45,0
Sarahside,2,5439.03,0
Rebeccaland,2,114.90,0
Grantfort,1,57.15,0
South Cindyport,1,48.82,0
South Jillview,2,41839.08,2
North Charlesview,1,222.76,1
Matthewborough,3,607.67,1
Perryborough,1,5385.77,1
South Brettfort,2,702.54,0
Olsonborough,1,46.81,0
East Danielberg,1,2626.63,0
Port Alejandrashire,5,5197.96,5
East Donald,2,2354.87,1
Christinaton,1,49.58,1
Douglasside,1,119.19,0
Jessicaborough,1,384.43,0
Ashleyland,2,370.78,0
West Phyllismouth,2,20.78,2
Patrickland,3,398.75,0
Cooperhaven,1,88.87,0
Patriciamouth,1,1658.75,0
West Jaclynview,8,63.17,0
Jeremiahberg,1,421.89,0
Lake Ryantown,2,31.94,0
East Richardfort,4,284.22,0
Howechester,1,370.02,0
Port Masonburgh,4,761.18,0
Michellemouth,4,819.28,1
Lake Sharonland,1,37.50,0
West Ronaldhaven,1,94.01,1
South Albertside,1,47.08,1
Lake Billyfort,1,509.04,0
New Toddbury,1,549.71,1
Natalieborough,1,58.47,0
Colleenburgh,1,6562.11,1
Zimmermanbury,4,1272.09,0
Maryburgh,1,2034.31,0
Marytown,4,1825.85,0
Nicoleburgh,2,329.18,0
Gordonshire,1,466.46,1
Tonyahaven,1,180.91,0
Port Katherinefort,2,29.95,0
Jessicafurt,1,98.05,0
South Tylerfort,2,687.94,0
Katrinamouth,2,24.79,0
South Danielville,1,47.35,0
Lake Lisa,3,219.63,0
Davisberg,1,268.34,0
Lake Kellyfort,1,264.98,0
North William,4,1297.16,0
East John,2,4346.74,1
Collinshaven,1,43.05,0
New Charleston,1,57.83,0
Camposfort,1,57.83,1
New Paul,1,397.16,0
Silvabury,1,187.31,1
West Dianeside,2,700.00,0
South Sandraberg,2,148.33,0
East Lindsayview,5,2353.33,0
Lynchview,1,391.95,0
Ochoafurt,1,8004.26,1
Tiffanyfort,1,1912.49,0
East Rosestad,1,19.75,0
Scottstad,1,2171.51,0
North John,1,203.67,0
South Joshua,1,225.16,1
Lake Aimee,3,220.57,0
Klinechester,2,9515.23,1
Stephanietown,1,460.36,1
West Megan,1,80.22,0
South Frankchester,1,70.40,0
Kennethhaven,2,415.33,0
Lake Emma,7,987.54,0
North Gregory,2,553.43,0
West Ianville,4,1991.77,0
East Christinastad,1,0.01,0
Lake Jessica,4,2858.49,0
East Annette,6,1101.68,0
West Zacharyville,2,169.12,2
Desireetown,4,894.25,0
Phillipston,1,51.15,0
South Danielle,1,32.44,0
Lake Davidmouth,1,344.97,0
East Samanthahaven,1,9090.74,1
South Barbaraborough,1,247.02,0
Hughesport,1,46.16,0
Port Micheletown,1,63.64,0
Lake Tyler,2,2625.11,1
South Benjaminburgh,3,24985.14,3
North Michael,5,923.18,1
South Michele,4,1935.77,0
Josephfurt,1,3014.97,0
East Davidburgh,1,84.71,1
Port Brianland,1,1007.08,0
North Courtney,2,827.54,0
Lake Jennytown,3,1157.03,0
South Matthewfurt,1,165.70,1
Lisaton,1,322.87,1
Laurashire,4,2876.32,0
Sandersview,1,25.13,0
Dixonmouth,1,272.74,0
Morganberg,1,188.22,0
New Lisaton,1,357.96,0
West Kennethchester,1,96.15,0
Port Ethan,3,1133.49,0
South Ryanport,1,401.83,0
Amandaberg,3,355.41,3
New Tammy,2,203.99,1
Dustinburgh,2,60.10,0
Kellyhaven,2,63.28,2
Morganmouth,8,755.92,0
North Davidville,2,88.15,0
North Christopherland,2,128.52,0
West Jessicaton,3,955.81,0
Shanestad,1,177.02,0
Smithhaven,1,294.04,1
New Patricia,2,4596.63,0
Lake Ashley,3,2512.15,1
Dorothyberg,1,266.55,1
Stephensstad,1,199.74,0
Noahshire,1,1360.51,0
Rachelview,1,57.23,1
Bennettport,2,551.84,0
Lunashire,2,862.92,0
West Stephentown,1,888.11,0
Kennethburgh,3,802.42,0
Port Andrewshire,2,762.70,0
Beckerfort,2,436.64,0
West Christianborough,1,48.95,0
Owenston,1,242.23,0
East Juliemouth,2,941.45,2
Lake Richardberg,1,34.43,0
New Robert,16,7921.69,1
Jasminland,1,813.90,1
East Vincentborough,1,83.67,0
Maynardview,1,116.39,0
Lindseyside,1,2614.72,0
Codyshire,1,303.75,0
Geraldtown,2,3677.90,0
Smithville,3,848.31,1
South Victorside,2,3416.37,0
North Samantha,1,9.25,1
Brownport,1,2555.01,1
Kiddhaven,1,73.13,0
West Josephtown,5,326.12,0
Greeneton,2,2903.96,0
North Stephenton,1,456.88,1
Port Joe,1,1201.29,0
Port Jessica,5,1956.93,0
Bauerville,1,24.50,1
Ibarraberg,2,460.99,0
Adamsport,3,879.01,0
Garciashire,1,7465.62,1
New Nicole,2,435.12,1
Veronicaport,4,8637.63,0
Amberville,1,133.79,1
Fordfurt,1,510.61,0
Port Breanna,3,274.82,0
South Natasha,3,811.25,0
Paulland,3,6749.12,1
Lake Amychester,5,577.84,0
Proctorfurt,1,2204.22,0
Estradaview,1,303.85,1
Jonathanfurt,2,277.29,2
Port Jordanmouth,2,16.49,0
Port Thomasfurt,1,67.83,0
Stacybury,1,59.32,1
South Kenneth,3,1597.29,0
Jonesmouth,4,653.64,1
North Ronaldfort,1,197.26,0
North Mark,4,267.59,0
Brittanystad,2,2705.73,0
Curtisberg,1,418.67,0
North Saraland,1,422.05,0
Howardhaven,3,136.97,0
Port William,4,13974.84,2
Courtneyhaven,3,23.65,0
Walshfort,2,6031.36,0
Lake Tamara,2,951.15,0
North Sarafurt,1,357.51,0
Foxmouth,1,75.22,0
Ashleyside,1,488.46,0
Loriview,1,272.95,0
Russellberg,3,2171.99,0
Jeffreyton,1,131.29,0
West Kathleenfurt,3,7567.62,0
East Tinaville,5,294.50,0
Lynnside,1,119.83,0
Diazstad,1,5495.89,1
West Aprilview,1,756.38,0
Port Nathaniel,1,128.64,0
South Cheryl,1,1552.36,0
New Lindsay,1,1835.17,0
Sarahchester,3,71.83,0
Lake Deanna,3,209.08,0
East Gary,1,341.73,0
East Richardside,1,148.13,0
South Kellyfurt,4,1034.31,0
Michaelshire,11,6839.12,1
Mooremouth,3,100.45,0
Carterfort,1,4733.66,0
Burketon,1,483.10,0
Sharonton,1,1568.31,0
Meyerchester,1,110.96,0
Bellhaven,1,422.31,0
Michaelchester,3,8481.58,0
Rubenland,1,133.26,1
North Denise,1,91.52,1
North Russell,1,469.62,0
Port Mallorychester,1,81.05,0
Port Melinda,3,137.17,0
Martinbury,1,322.70,1
Davidview,2,3283.10,0
Dianachester,1,74.34,0
New Reginaside,4,2000.06,0
Amytown,3,177.80,1
North Phillip,1,69.06,0
Emilyborough,1,2860.09,0
East Brianna,6,2556.90,0
Simsburgh,1,39.41,0
Lauraton,1,1280.74,1
North Ronaldview,3,386.35,0
Matthewport,1,8392.15,1
North Raymond,1,0.01,0
Cruzchester,2,95.01,2
Robinsonton,1,249.58,1
New James,5,4011.43,2
West Mollyhaven,1,416.77,1
East Aliciaberg,2,629.76,2
Port Crystalhaven,2,63.21,0
Moraleschester,1,234.14,0
Jerryhaven,1,290.76,0
New Peter,3,145.36,0
Leahstad,1,185.50,0
West Dorothyfurt,1,601.56,1
East Bruce,2,903.98,0
Lake Kristaport,3,2733.91,0
Millertown,1,2559.23,1
New Josephhaven,1,485.95,0
Gordonside,4,281.28,4
Port Seanside,1,1839.27,0
Port Danielchester,1,25.37,0
New Robertborough,1,453.46,0
North George,1,82.89,1
West Francisco,3,77.82,0
Evansfort,4,1324.85,0
East Haydenside,1,301.05,0
Justintown,1,79.19,1
Port Bryan,3,217.33,0
Brookeberg,4,475.90,0
Simpsonmouth,1,178.82,0
Port Charlesborough,1,1337.40,0
West Jaclynmouth,1,339.42,0
East Nancy,2,79.94,0
West Mark,2,130.52,0
Williamfort,1,146.79,0
East Jeremyview,1,61.03,0
Nicoleshire,1,40.13,0
South Justinchester,2,363.56,0
Nathanieltown,6,559.42,0
Lake Kimberlyfurt,1,117.93,0
Allenview,1,1593.11,0
Sandovalchester,1,95.89,0
Rebeccaberg,2,153.05,0
New Lindatown,2,120.70,0
Davidburgh,3,2765.80,0
East Triciatown,1,254.90,1
Selenaside,1,54.00,0
North Jennifer,6,4782.13,1
Lawsonmouth,1,206.03,0
Lake Emilytown,1,348.56,0
Simsview,1,0.01,1
Sonyamouth,1,105.34,1
Chapmanfurt,1,68.74,1
Gibsonport,1,474.54,1
Gonzalesfurt,1,302.35,1
Bethton,3,1394.88,0
Cameronmouth,1,49.68,0
Cannontown,3,509.51,0
South Robertborough,2,154.69,2
West Christymouth,2,141.19,0
Branditown,7,2050.56,0
North Christopher,2,411.69,0
Stephenborough,2,489.43,0
Baileyfort,2,84.64,0
New Derek,1,28.02,0
Andrewland,2,645.93,0
Jamesberg,5,510.64,0
Foleychester,3,26421.51,3
Campbellport,1,87.14,0
West Conniefurt,1,61.33,0
Vazquezville,2,654.50,0
Meyerborough,1,1759.31,0
North Alan,2,250.65,0
North Matthew,2,465.11,0
Carsonside,2,180.56,0
Katherineton,1,58.57,0
Sheilashire,2,455.63,0
Grantview,1,1887.04,0
Shannonbury,1,214.24,1
Jordanside,1,57.33,0
Williamsfurt,1,361.13,0
Schmidtfurt,1,8815.94,1
Marshside,1,761.31,0
Alexanderton,1,245.80,0
Gonzalezmouth,3,2110.74,0
South Cynthiafort,3,177.79,0
South Ginaborough,4,91.71,0
Bensonfurt,1,80.20,1
Leechester,2,66.94,0
South Alfredburgh,1,16.17,0
West Robertbury,3,2772.21,0
Klineport,1,77.49,0
Lake Wayneview,2,54.47,0
Castillofurt,1,56.20,0
Kristyborough,1,116.26,0
Brandonfurt,2,195.18,0
Glorialand,1,502.72,0
Johnfort,4,453.41,0
Starkfort,2,62.42,0
Christopherview,2,3828.26,0
Port Sarahhaven,1,124.05,1
Melissaville,4,1293.59,0
Lake Michael,5,865.73,1
East Scott,1,51.78,0
Victormouth,1,144.99,0
South Tammietown,1,482.09,1
North Sherylchester,1,138.82,1
Rayburgh,1,191.84,1
East Rick,1,51.47,0
South Williamtown,1,239.10,0
Jamesmouth,7,7374.14,1
West Wesleytown,1,221.08,1
Katrinafort,2,2268.57,0
South Danielside,4,2458.95,0
South Lori,1,3023.15,0
Caitlinton,1,20.37,1
North Tiffany,4,709.33,0
Port Carolynside,4,89.16,0
Beckberg,1,98.43,0
North Eric,6,1130.59,0
Port Haileychester,1,92.60,0
Jonathanville,2,739.21,2
Port Alexandraport,2,126.02,0
East Alexandermouth,1,4295.02,0
South Zachary,6,2691.64,0
Dianeview,2,2130.07,0
"Kelliemouth, Brazil",1,167.74,1
South Jill,4,5487.63,0
Fullerstad,3,4810.17,0
Lake Cassidytown,4,181.69,0
Pachecoport,1,0.01,0
Johnmouth,1,488.64,1
Lake Danielmouth,4,53.14,0
North Nicole,1,61.90,0
Moniquefurt,1,2007.04,0
Eileenton,6,1338.05,0
Port Donnaburgh,1,11.50,0
Port Amanda,2,487.38,2
Mcdonaldville,2,87.15,0
Chenberg,3,191.71,0
North Robinside,1,243.68,0
New Carolmouth,1,347.78,0
North Deborahton,4,8203.01,0
West Williamtown,2,3003.16,0
Benjaminburgh,4,1628.14,0
New Adam,3,667.20,0
North Brianastad,1,84.38,1
Port Sarah,5,1359.71,0
South Laurieton,1,1228.18,0
Jamesport,2,1723.31,0
Grahammouth,1,6.83,0
Munozbury,1,309.34,0
"Johnsonton, Brazil",1,213.41,1
New Nicholas,1,77.64,0
Colemanbury,1,44.93,1
Brucefort,2,172.78,0
East Stephanie,7,2815.70,0
Alexandramouth,1,460.78,0
West Breanna,1,35.68,0
Wilkinsonhaven,1,92.89,0
"Leefurt, Russia",1,195.18,1
New Nicholasberg,2,46.19,0
Rachelfurt,2,1307.34,1
Lake Sharonfort,1,5409.52,1
Lake Stephanieburgh,1,189.37,0
Elizabethmouth,5,1334.17,0
New Pamela,2,534.47,1
Lake Shelbymouth,1,361.49,0
East Danielstad,1,341.29,0
East Amandaside,2,78.38,0
Michelleport,2,1593.48,1
Jacksonstad,1,101.70,0
West Shelleyburgh,1,483.96,0
New Brianmouth,1,186.13,0
South Heatherfort,4,1132.78,0
West Laurenville,1,399.97,1
Lake Jasonport,1,84.14,0
West Richard,3,8881.86,1
North Davidbury,1,25.41,0
East Kayla,3,610.46,0
Jenkinsport,1,46.49,0
East Jasmine,1,4.23,1
Port Katherineville,1,436.24,0
Vargasfort,1,86.48,0
Shaneland,1,2333.15,1
North Meredith,1,93.96,0
Lake Renee,3,2468.74,0
South Chrisbury,1,133.09,1
Lake Kimfort,1,357.37,0
East Sean,4,1528.25,0
North Sarabury,1,346.65,0
Graychester,1,5459.02,1
Lake Cynthiahaven,1,397.09,0
Ramosbury,1,530.39,0
Lake Josephfurt,1,279.22,1
Dennismouth,3,453.78,0
New Ashleyport,1,114.10,0
Mendozaport,1,157.04,1
Jaredfort,1,363.02,1
Gonzalezside,2,837.99,0
Arnoldside,1,447.52,0
Katherinechester,4,1554.61,0
East Ivanchester,2,2222.06,0
Geraldmouth,7,1251.41,0
Mirandaton,5,1205.99,0
Phamstad,3,1313.84,0
Reedmouth,1,2695.02,1
Davisstad,1,2613.20,1
Strongbury,1,748.28,0
Brittanyborough,1,404.44,1
East Aliciahaven,1,93.33,0
Port Theresa,1,323.65,0
Matthewton,1,111.85,0
Autumnstad,1,205.17,0
Lake Robin,2,9798.67,2
South Brittany,5,766.76,2
Gomezfurt,1,571.85,0
East Terri,1,270.19,0
Youngbury,1,409.99,0
Arellanohaven,3,7594.71,0
Horneshire,1,86.19,1
Martinezstad,1,31.16,1
North Malloryborough,1,66.23,0
New Katie,1,223.16,0
Lake Sherri,1,74.32,0
West Rebeccachester,1,86.03,0
East Virginia,7,2579.23,0
Lake Jesse,2,1621.63,0
Jessicaport,1,256.69,0
New Monicaton,2,158.58,0
Patriciafort,6,317.83,0
Arielland,1,270.65,1
West Shirley,2,9123.75,1
Ritaton,1,277.39,0
Martinborough,1,314.26,0
Lake Ana,1,38.10,0
Leeburgh,1,371.39,0
Rodgershaven,6,60.84,0
West Dannystad,2,612.55,0
North Timothyside,1,101.43,0
Jacksonhaven,3,8108.02,0
